N,Network,CentralizationIN,CentralizationOUT,Density,Modularity,Isolates,Label
0,#AvisoCovidEdomex,0.009886871020968746,0.2616469731840988,4.3697265109421204e-05,0.3438673196147135,0.7005148927849834,Fragmented
1,#BuenFinSeguro,0.002841133706877146,0.24268741234919844,4.448712615333215e-05,0.3114332781451848,0.7159108030736778,Fragmented
2,#CovidDerrotaAPuebla,0.03337486364651921,0.7804242400346961,0.005042075942559931,0.283440784001344,0.07274590163934426,OutWard Hub and Spoke
3,#DiaInternacionalDelHombre,0.0036522791883877473,0.04124930888298728,0.00011858353470808797,0.8805818985865262,0.29227965987312726,Clustered
4,#Fakeministas,0.006900112358306617,0.5783990953009601,0.001319351169462446,0.37093867606660463,0.058813865615245604,Clustered
5,#FelizLunes,0.019386469257626868,0.08080428558732106,0.0002418917229539027,0.8033076315604729,0.15517782098726715,Clustered
6,#JusticeForJohnnyDepp,0.007881449126700182,0.08087972793946466,0.00028873206201193084,0.6841440265972563,0.09294106409399179,Clustered
7,#OfrendaEdomex,0.0076344247158380155,0.5775471591275443,8.890415019966946e-05,0.17110721856631353,0.38449190396426575,Clustered
8,#Temblor,0.002071806432084815,0.060622145650111384,0.00016861495798788442,0.808782069015414,0.19807644473924219,Clustered
9,Best Buy Liquidacion,0.0028339176204408333,0.0400560742488802,9.408582153424724e-05,0.9306120879164269,0.2010112293491681,Clustered
10,Best Buy,0.002988909380166457,0.13316604608296725,0.0001384689686316889,0.7776715626114333,0.18028922724087404,Clustered
11,Bloomberg,0.003028767576477783,0.1362214179904382,0.00014872315854100502,0.8479295133513466,0.0621160409556314,Clustered
12,DiaDeMuertos,0.0024445746977458382,0.39367167462258335,0.0001332873333697281,0.8184477360411087,0.09175548205316673,Clustered
13,Dinamarca,0.00810321532424467,0.1238320038365206,0.00031085851297648915,0.6249398253255256,0.08653763440860215,Clustered
14,Greta,0.0028763256463261995,0.13102509913514412,0.00010787565424974644,0.89218817440079,0.11883029073698445,Clustered
15,Halloween,0.0022212146201781606,0.01709678245694986,6.004293860361463e-05,0.9866681185560624,0.15336066891783245,Clustered
16,Pfizer,0.0029292192121624845,0.11956401782449338,0.00013537023676992346,0.8337214341332139,0.06463780097137542,Clustered
17,Viena,0.0030148935019504034,0.05405122010612887,0.0002098575312307065,0.7876027185200613,0.06491384432560904,Clustered
18,#GoPackGo,0.0020203856154712976,0.7119851163905077,0.00022643422540066107,0.4123772120718319,0.15610796772099064,OutWard Hub and Spoke
19,#HalaMadrid,0.003371997348867943,0.43139243100831093,0.0003907833343564772,0.4580611521396654,0.07441681125891653,Clustered
20,#ImolaGP,0.003418601920953242,0.4283851188110863,0.0003720368738927322,0.5445824415779134,0.12129324546952223,Clustered
21,#SerieMundial,0.0017668937627822135,0.2853062333218215,0.00023419963082497338,0.6971930855259513,0.04588953356943712,Clustered
22,#Xavi,0.0020521170224416883,0.1177209537906745,0.0001501076995103092,0.8397253365326934,0.10994928307557447,Clustered
23,Checo,0.0036596670959770355,0.14928272184841945,0.00017069255689087205,0.7324849390162435,0.11100533130236101,Clustered
24,Chivas,0.006186550252451835,0.4725912563816682,0.0003865810374526445,0.5541236729950845,0.1317882745752725,Clustered
25,Cruz Azul,0.00311345798065229,0.05332087585981755,0.00011709964776720616,0.7940583389121412,0.22470265324794145,Clustered
26,Europa League,0.000841064904779175,0.155828651370247,0.00012266857701987485,0.8221597978091729,0.11863259434760534,Clustered
27,HereWeGo,0.003603977079923691,0.23970561801449705,0.00018972038054512622,0.6720077836135986,0.33609110375705664,Clustered
28,Manchester United,0.003105170320414114,0.053923744589505135,0.00011884769780834047,0.8956907881890543,0.13946695874406717,Clustered
29,Pumas,0.00350627689045272,0.15887948781246314,0.00021928747490822793,0.7127992264137915,0.18223515921319572,Clustered
30,Ravens,0.0019863276542450184,0.2660366347685982,0.00016422720288121633,0.6247946872556274,0.3076800636689216,Clustered
31,Rayados,0.005407761490589473,0.6608261570986272,0.0007271494937596502,0.3420227223085745,0.08829522300203758,OutWard Hub and Spoke
32,Worlds2020,0.005271363412780038,0.37359796315342303,0.00022387431759075154,0.6011281133656905,0.09441578829333931,Clustered
33,#1MTrajeados,0.024112323627206698,0.6897631095213608,0.0018365365992465286,0.30612774454266634,0.09571459647596259,OutWard Hub and Spoke
34,#ARMY,0.007693899205216945,0.8947632774283718,0.0003884193437337401,0.185495570422502,0.01966460371331603,OutWard Hub and Spoke
35,#Confetti,0.017103028560837872,0.616493444599828,0.0006670796862319313,0.4584001092811883,0.1739719072601117,OutWard Hub and Spoke
36,#FelizMartes,0.002221376853955959,0.6798732721264258,0.0003629754444925202,0.41895180277835337,0.014757614757614758,OutWard Hub and Spoke
37,#FelizMiercoles,0.006106235966040516,0.026921060014694694,0.00022076274502667864,0.8894846477580689,0.14719878180318507,Clustered
38,#Fortnite,0.002610213012859469,0.030702176925586272,0.00010059691106187431,0.8682342908818806,0.4411677753141168,Clustered
39,#HappyAuronDay,0.016013683979090244,0.5170485256502149,0.0007644930755426751,0.39334171388182343,0.16231699554423934,Clustered
40,#LordMontajes,0.012084793822541335,0.40396038513893096,0.0006544098344615826,0.4853214875800388,0.0545848897457525,Clustered
41,#MasterChefMx,0.02123738113565416,0.12628748898570452,0.0006972197693577405,0.47047065046705705,0.24947023694856482,Clustered
42,#NiallHoran,0.01715194764552716,0.5777481364436213,0.0010991668745843977,0.4247912086908899,0.06843696027633851,Clustered
43,#POSITIONS,0.003034173804339532,0.12422934682021783,0.00016283236700662278,0.7213659396735785,0.2703674121405751,Clustered
44,#TheMandalorian,0.006860415475032148,0.06295937943047157,8.679757286900491e-05,0.8925906984594691,0.27682218259218777,Clustered
45,#WonderAtMidnight,0.0259240256626885,0.6078653760526389,0.0018075805776274622,0.36781000657184143,0.0641025641025641,OutWard Hub and Spoke
46,#XSXFridgeSweeps,0.0005014130687912607,0.42965263649820706,5.585934971305173e-05,0.17646781249545435,0.5274053163961421,Fragmented
47,Bob Esponja,0.002196875609592833,0.060500309267362426,9.061597730964766e-05,0.828865245697399,0.39991031964640317,Clustered
48,Coco,0.005882614596997174,0.013406060913844883,8.212591391360795e-05,0.9873414450590817,0.19769179246741203,Clustered
49,KAROL,0.016958344963529107,0.08612399588746926,0.0008603353508687997,0.6999718837861665,0.14813919768003866,Clustered
50,Maluma,0.00464645201795057,0.38189028433703376,0.00020122109897347003,0.490487585717439,0.2253491620111732,Clustered
51,SpotifyWrapped,0.0019401359059929867,0.17754139350705014,0.00016520269376796434,0.708684842176363,0.3078262823754144,Clustered
52,SystemofaDown,0.0029716410638861677,0.0880342576595264,0.00010637033065899709,0.8621803177310364,0.24782240503266392,Clustered
53,Yakult,0.004528832518961636,0.1055260731807267,0.0001351121452307348,0.7667193421483522,0.26629896761419886,Clustered
54,#AMLOLujoDePresidente,0.017372563571727735,0.31286550959957365,0.0007381034100440979,0.4603203372816547,0.11924538927213853,Clustered
55,#AntorchaAyudaATabasco,0.026566472392774616,0.3284664680887694,0.0024535358254296653,0.34043629994710073,0.24323374340949033,Clustered
56,#ByeByeTrump,0.004184477209218614,0.048929840455148615,0.00010867879423410933,0.8813424672267348,0.2505886508123381,Clustered
57,#CuidemosTodosDeTodos,0.0015896085039716853,0.5688631058255079,9.19871860980245e-05,0.21393562250167106,0.38307856381087807,Clustered
58,#Elecciones2020,0.003785672916587111,0.1237178309389321,0.00018073250650167588,0.8202472415173965,0.17157852240613647,Clustered
59,#JusticiaParaAlexis,0.0073372427596425606,0.13860141815023974,0.0003792785736830192,0.5946975610413641,0.05875682919286671,Clustered
60,#LaBrujaDelPalacio,0.0369462599738451,0.16261757308323507,0.0009190129963076823,0.43515690156732656,0.07139023081052066,Clustered
61,#MatriomonioIgualitarioPuebla,0.03494238060362792,0.27175059563462445,0.0013001457884064206,0.46153820910426413,0.06345123258306538,Clustered
62,#RatitaNoEstasSolo,0.016922020989239693,0.5986043547295374,0.0015536565366138487,0.29264164966115164,0.029865281610128226,OutWard Hub and Spoke
63,#SalarioRosa2,0.0017667091349596908,0.5468499101603219,9.741784038901336e-05,0.21535914437212297,0.44044467972472207,Clustered
64,#SiguesTuLopez,0.0182955486902198,0.2744860176216539,0.0005486246382291177,0.4738516636964838,0.12424134237772225,Clustered
65,#SoloLasMujeresMenstruan,0.007620863910024674,0.21883873081626296,0.0001968447936776688,0.7379812628342409,0.1330049261083744,Clustered
66,#TarjetaRosa,0.0034343673206974176,0.35407578131718365,5.449145545240619e-05,0.21162410778143653,0.6136672095548317,Fragmented
67,#TrumpvsBiden,0.008238669996441498,0.06661031244379366,9.582658365792799e-05,0.9383558416862656,0.2815240399153311,Clustered
68,#UnPeligroParaMexico,0.04073460825442338,0.17421978803306482,0.0014046813173964044,0.4137057619656243,0.05053494195310722,Clustered
69,#nosfaltajorge,0.003587175828906584,0.15476705796523332,0.0002529914745941988,0.695962550652316,0.062113242574257425,Clustered
70,Brozo,0.006624049482816031,0.26292453079173855,0.0003213277700696709,0.6162031769659085,0.029395138496325607,Clustered
71,Censura,0.0024321198572870542,0.1938081816242325,0.00020024771527685434,0.7506814936464756,0.03616413452798338,Clustered
72,Chile,0.003906721725681099,0.03485599084316119,0.000144827771790265,0.8731397353888831,0.13030824968818674,Clustered
73,FONDEN,0.007634495902782796,0.35587730046383714,0.0005034355666537432,0.4899185953591661,0.04182054097215291,Clustered
74,Trump,0.002331653782373375,0.04094334661821042,9.73003014310582e-05,0.8875136288728387,0.09139810539344029,Clustered
